countyno,county,RW,PCI,POP,WDEN,SH65UP,SHLH
11,Alachua,0.963834956,37607,246770,2161.832,11.67402845,10.02829
12,Baker,0.905675136,26472,26938,77.186,11.41510134,6.931769
13,Bay,0.94432527,37843,169392,1417.537,15.17486068,14.60019
14,Bradford,0.878281777,31763,27239,128.3279,15.78618892,9.20739
15,Brevard,1.000099498,39223,545625,2040.684,20.88668958,10.40939
16,Broward,1.049480514,43161,1771099,5706.35,14.79211495,9.665439
17,Calhoun,0.8482325,23043,14641,36.82233,15.89372311,3.800786
18,Charlotte,0.961488181,36911,163357,1238.412,34.57274558,11.1696
19,Citrus,0.933341327,33935,140761,455.9826,32.36620939,9.966244
20,Clay,0.938808269,35773,192071,1258.744,12.53234481,12.24126
21,Collier,1.079695,65042,329849,1913.181,26.83682534,14.43002
22,Columbia,0.921744963,28623,67729,280.302,16.02415509,9.963413
23,Miami-Dade,1.02942047,39467,2551290,9075.18,14.46197806,5.633022
24,DeSoto,0.905393696,23413,34408,321.9516,18.38816554,5.212094
25,Dixie,0.825058813,22462,16298,27.98579,20.16811879,9.040483
26,Duval,1.026788421,42111,869729,2782.172,11.90393789,10.40991
27,Escambia,0.956104362,37967,299511,1829.291,15.09360257,14.55383
28,Flagler,0.913139784,36482,97160,387.4078,24.95059695,14.13311
29,Franklin,0.87386043,29444,11530,33.3088,18.18733738,5.108965
30,Gadsden,0.886483198,27762,47506,120.8789,13.92876689,5.108416
31,Gilchrist,0.830520051,33029,16946,43.37095,17.76820489,7.983262
32,Glades,0.953383058,23833,12671,14.90395,22.63436193,5.78339
33,Gulf,0.868249983,26615,15907,30.00031,17.01137864,3.801362
34,Hamilton,0.910083972,20163,14836,26.7653,14.17497978,5.083364
35,Hardee,0.915656205,25311,27762,56.60156,13.06822275,5.640972
36,Hendry,0.911308039,29319,38132,275.2307,12.07384874,11.10998
37,Hernando,0.90631504,30965,173104,1015.967,26.07680932,8.656355
38,Highlands,0.884625306,30393,98955,543.9232,32.49153656,9.463736
39,Hillsborough,1.017615549,40206,1256118,3166.714,12.31691609,10.88856
40,Holmes,0.820826675,27123,19984,53.77699,17.71917534,11.52489
41,Indian River,1.00780691,54501,139446,1224.702,27.46439482,8.101188
42,Jackson,0.867433952,29476,49847,77.61002,16.06515939,5.97804
43,Jefferson,0.860873587,30674,14478,27.19057,17.77869872,3.924586
44,Lafayette,0.789693324,19995,8663,16.14599,13.0324368,9.679425
45,Lake,0.950275623,34445,299677,747.3351,24.26979715,12.73389
46,Lee,1.018655982,42386,638029,1855.695,23.75785427,10.09483
47,Leon,0.946826695,37644,277670,2192.357,10.2719055,7.836753
48,Levy,0.837227697,28114,40339,57.80022,20.11452936,4.333765
49,Liberty,0.899890845,24833,8519,12.48067,11.05763587,6.212265
50,Madison,0.848036157,25695,19227,101.4785,16.49763354,11.63944
51,Manatee,0.990251125,41844,330302,2727.495,23.73343183,9.389907
52,Marion,0.92339581,34027,332989,600.9759,26.24320924,11.25672
53,Martin,1.032956412,54317,147203,1439.907,27.84861722,9.721401
54,Monroe,1.035745952,58430,72897,2599.355,18.46852408,26.38741
55,Nassau,0.965544192,45723,73745,380.8219,17.31507221,17.75357
56,Okaloosa,0.982412098,44903,187280,1993.028,14.45536096,11.99612
57,Okeechobee,0.911983568,26517,39805,230.5522,17.30435875,8.474464
58,Orange,1.006423033,37479,1175941,3359.114,10.10611927,20.86015
59,Osceola,0.959361993,26865,280866,1967.552,11.44246723,17.1062
60,Palm Beach,1.079244537,57252,1335415,3698.036,21.9128885,11.19443
61,Pasco,0.949106364,32318,468562,1927.613,20.94450681,10.65979
62,Pinellas,1.014417741,45037,920381,4177.699,21.9748126,10.83972
63,Polk,0.9593996,33647,606888,1368.215,18.56372181,8.725148
64,Putnam,0.92898591,28090,73158,283.804,19.47565543,7.471458
65,Saint Johns,0.979760714,54156,196071,825.9243,16.45424362,17.06363
66,Saint Lucie,0.980969896,30932,280355,1660.063,20.14909668,9.412318
67,Santa Rosa,0.95134909,37542,155390,628.6118,13.29236116,11.67443
68,Sarasota,1.030194782,56244,383664,2398.702,31.63627549,11.78877
69,Seminole,0.987578288,42484,428104,2827.901,12.76372096,9.256682
70,Sumter,0.94653313,36921,100198,401.7134,45.40210383,14.41123
71,Suwannee,0.896118602,27809,43796,67.09753,18.77112065,5.862219
72,Taylor,0.865992868,26790,22898,91.05209,16.37697616,7.124654
73,Union,0.843448945,19985,15510,56.07307,10.57382334,6.51152
74,Volusia,0.937336059,34182,497145,1817.654,21.66711925,12.7368
75,Wakulla,0.933660678,30256,30771,69.58752,11.71557635,7.975947
76,Walton,0.92784127,38072,56965,69.37319,16.70148337,20.98714
77,Washington,0.85606497,24703,24922,51.27768,15.81333761,6.727554
