houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips,incBin,sizeBin,vehBin,wrkBin,vehRatio,driverRatio,distanceRatio,sizeRatio,adultRatio
10007044,1,3,2,2,0,2,370,9,12,2,2,3,0,1.5,0.6666666666666666,185,185,1
10011108,0,1,2,2,2,2,96,12,10,3,2,1,NA,0.5,2,48,48,1
10026090,1,1,1,1,1,1,64,7,7,2,1,1,1,1,1,64,64,1
10052473,1,1,1,1,1,1,27,18,3,4,1,1,1,1,1,27,27,1
10074877,1,1,2,1,0,2,22,6,4,1,2,1,0,1,1,22,11,1
10102060,0,1,1,1,1,1,2,8,2,2,1,1,1,1,1,2,2,1
10115659,1,2,2,2,0,2,144,16,5,3,2,2,0,1,1,72,72,1
10130719,1,2,2,2,1,2,41.7222,14,10,3,2,2,1,1,1,20.8611,20.8611,1
10144462,1,1,1,1,1,1,60,10,7,2,1,1,1,1,1,60,60,1
10159411,1,2,3,2,2,2,62.3333,18,13,4,3,2,NA,1,1,31.16665,20.77776666666667,0.6666666666666666
10173752,1,2,3,2,1,2,1258.5,11,22,2,3,2,1,1,1,629.25,419.5,0.6666666666666666
10181542,1,2,4,2,2,2,16,18,7,4,4,2,NA,1,1,8,4,0.5
10200564,1,2,1,1,0,1,300,17,2,4,1,2,0,2,0.5,300,300,1
10262973,0,1,5,2,1,2,19.5,4,12,1,4,1,1,0.5,2,9.75,3.9,0.4
10267763,1,2,2,1,1,1,14,7,2,2,2,2,1,2,0.5,14,7,0.5
10339464,0,2,5,2,2,2,NA,NA,1,NA,4,2,NA,1,1,NA,NA,0.4
10350898,1,2,5,3,2,2,95.5,15,21,3,4,2,NA,0.6666666666666666,1.5,31.833333333333332,19.1,0.4
10364578,1,3,3,3,2,3,84,18,7,4,3,3,NA,1,1,28,28,1
10367029,1,2,2,2,2,2,203,10,20,2,2,2,NA,1,1,101.5,101.5,1
10367832,1,2,2,2,2,2,73.5,13,10,3,2,2,NA,1,1,36.75,36.75,1
10484225,1,3,5,3,2,3,41,7,16,2,4,3,NA,1,1,13.666666666666666,8.2,0.6
10486621,0,1,4,2,2,2,12,7,8,2,4,1,NA,0.5,2,6,3,0.5
10497757,1,3,3,2,2,2,118,17,4,4,3,3,NA,1.5,0.6666666666666666,59,39.333333333333336,0.6666666666666666
10504945,1,3,3,3,3,3,169,12,18,3,3,3,2,1,1,56.333333333333336,56.333333333333336,1
10511895,1,1,3,1,1,2,56,4,11,1,3,1,1,1,1,56,18.666666666666668,0.6666666666666666
10514300,1,2,3,2,1,2,64,17,11,4,3,2,1,1,1,32,21.333333333333332,0.6666666666666666
10549843,1,2,2,2,1,2,42.6667,8,7,2,2,2,1,1,1,21.33335,21.33335,1
10550661,1,2,2,2,0,2,85.5,NA,20,NA,2,2,0,1,1,42.75,42.75,1
10554089,1,1,2,2,0,2,106,4,6,1,2,1,0,0.5,2,53,53,1
10561537,1,2,2,2,1,2,22.7222,13,15,3,2,2,1,1,1,11.3611,11.3611,1
10564051,1,2,3,3,2,3,75.7222,17,19,4,3,2,NA,0.6666666666666666,1.5,25.240733333333335,25.240733333333335,1
10574292,1,2,2,2,0,2,32,4,8,1,2,2,0,1,1,16,16,1
10578487,1,2,2,2,2,2,409,17,2,4,2,2,NA,1,1,204.5,204.5,1
10578674,1,3,2,2,1,2,31.2222,10,11,2,2,3,1,1.5,0.6666666666666666,15.6111,15.6111,1
10585766,1,2,3,2,1,2,35,3,6,1,3,2,1,1,1,17.5,11.666666666666666,0.6666666666666666
10586660,1,2,4,2,2,2,102.5,18,25,4,4,2,NA,1,1,51.25,25.625,0.5
