person_id,driver,worker,educ,hhincttl,numadlt,drvrcnt,r_age,r_sex,hhsize,homeown,pertrips,incBin,educBin,incRatio,adultRatio,adult
100070441,1,0,2,9,2,2,63,0,2,1,6,2,1,22500,1,1
100070442,1,0,2,9,2,2,83,1,2,1,6,2,1,22500,1,1
100111081,1,1,2,12,2,2,41,1,2,0,6,3,1,30000,1,1
100111082,1,1,4,12,2,2,40,0,2,0,4,3,1,30000,1,1
100260901,1,1,7,7,1,1,40,0,1,1,7,2,1,35000,1,1
100524731,1,1,6,18,1,1,47,1,1,1,3,4,1,90000,1,1
100748771,1,0,4,6,2,1,88,1,2,1,4,1,1,15000,1,1
101020601,1,1,8,8,1,1,30,1,1,0,2,2,1,40000,1,1
101156591,1,0,2,16,2,2,77,0,2,1,5,3,1,40000,1,1
101307191,1,0,4,14,2,2,59,0,2,1,10,3,1,35000,1,1
101444621,1,1,3,10,1,1,60,1,1,1,7,2,1,50000,1,1
101594111,1,1,2,18,2,2,29,0,3,1,6,4,1,30000,0.6666666666666666,1
101594112,1,1,6,18,2,2,40,1,3,1,4,4,1,30000,0.6666666666666666,1
101594113,NA,NA,NA,18,2,2,9,1,3,1,3,4,0,30000,0.6666666666666666,0
101737521,1,0,4,11,2,2,26,0,3,1,5,2,1,18333.333333333332,0.6666666666666666,1
101737522,1,1,2,11,2,2,32,1,3,1,12,2,1,18333.333333333332,0.6666666666666666,1
101737523,NA,NA,NA,11,2,2,0,1,3,1,5,2,0,18333.333333333332,0.6666666666666666,0
101815421,1,1,4,18,2,2,35,0,4,1,7,4,1,22500,0.5,1
102005641,1,0,8,17,1,1,53,0,1,1,2,4,1,85000,1,1
102629732,1,1,2,4,2,2,26,1,5,0,9,1,1,4000,0.4,1
102629733,NA,NA,NA,4,2,2,8,1,5,0,3,1,0,4000,0.4,0
102677631,1,1,4,7,1,1,40,0,2,1,2,2,1,17500,0.5,1
103394641,1,1,NA,NA,2,2,38,1,5,0,1,NA,0,NA,0.4,1
103508981,1,1,6,15,2,3,43,0,5,1,7,3,1,15000,0.4,1
103508982,1,1,4,15,2,3,44,1,5,1,7,3,1,15000,0.4,1
103508984,NA,NA,NA,15,2,3,13,1,5,1,2,3,0,15000,0.4,0
103508985,NA,NA,NA,15,2,3,11,0,5,1,5,3,0,15000,0.4,0
103645782,1,1,8,18,3,3,59,1,3,1,3,4,1,30000,1,1
103645783,1,1,6,18,3,3,56,0,3,1,4,4,1,30000,1,1
103670291,1,1,6,10,2,2,24,0,2,1,16,2,1,25000,1,1
103670292,1,1,2,10,2,2,19,1,2,1,4,2,1,25000,1,1
103678321,1,1,7,13,2,2,50,0,2,1,10,3,1,32500,1,1
104842251,1,0,2,7,3,3,27,0,5,1,4,2,1,7000,0.6,1
104842252,1,1,2,7,3,3,50,1,5,1,2,2,1,7000,0.6,1
104842253,1,1,2,7,3,3,52,0,5,1,2,2,1,7000,0.6,1
104842254,NA,NA,NA,7,3,3,10,1,5,1,4,2,0,7000,0.6,0
104842255,NA,NA,NA,7,3,3,6,0,5,1,4,2,0,7000,0.6,0
104866212,NA,NA,NA,7,2,2,14,1,4,0,4,2,0,8750,0.5,0
104866213,NA,NA,NA,7,2,2,13,1,4,0,4,2,0,8750,0.5,0
104977571,1,1,6,17,2,2,60,1,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
104977572,1,1,6,17,2,2,26,0,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
105049451,1,1,8,12,3,3,24,0,3,1,7,3,1,20000,1,1
105049452,1,1,5,12,3,3,55,0,3,1,7,3,1,20000,1,1
105049453,1,1,6,12,3,3,55,1,3,1,4,3,1,20000,1,1
105118951,0,0,4,4,2,1,24,0,3,1,3,1,1,6666.666666666667,0.6666666666666666,1
105118952,1,1,2,4,2,1,24,1,3,1,5,1,1,6666.666666666667,0.6666666666666666,1
105118953,NA,NA,NA,4,2,1,1,1,3,1,3,1,0,6666.666666666667,0.6666666666666666,0
105143001,1,0,4,17,2,2,37,0,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
105143002,1,1,8,17,2,2,35,1,3,1,7,4,1,28333.333333333332,0.6666666666666666,1
105143003,NA,NA,NA,17,2,2,2,0,3,1,2,4,0,28333.333333333332,0.6666666666666666,0
105498431,1,1,6,8,2,2,61,0,2,1,3,2,1,20000,1,1
105498432,1,0,5,8,2,2,60,0,2,1,4,2,1,20000,1,1
105506611,1,0,4,NA,2,2,72,1,2,1,8,NA,1,NA,1,1
105506612,1,0,2,NA,2,2,71,0,2,1,12,NA,1,NA,1,1
105540891,1,0,2,4,2,2,70,1,2,1,2,1,1,10000,1,1
105540892,1,0,2,4,2,2,69,0,2,1,4,1,1,10000,1,1
105615371,1,0,6,13,2,2,70,0,2,1,8,3,1,32500,1,1
105615372,1,1,2,13,2,2,68,1,2,1,7,3,1,32500,1,1
105640511,1,0,6,17,3,3,62,1,3,1,5,4,1,28333.333333333332,1,1
105640512,1,1,6,17,3,3,52,0,3,1,6,4,1,28333.333333333332,1,1
105640513,1,1,4,17,3,3,20,0,3,1,8,4,1,28333.333333333332,1,1
