"","time","route","flow","signals","distance","seatbelts","passengers","age","gender","marital","children","income","year","origin"
"1",14,1,600,7,44,1,0,5,1,0,3,4,78,0
"2",13,1,400,7,44,0,0,1,0,1,0,0,85,1
"3",11,1,540,7,44,1,0,2,1,0,0,1,81,0
"4",12,1,540,7,44,1,0,5,0,1,0,3,83,1
"5",9,1,370,7,44,1,0,5,0,1,0,3,83,1
"6",10,1,350,7,44,1,0,3,1,1,0,2,81,0
"7",10,1,350,7,44,1,0,3,0,1,0,0,80,0
"8",12,1,460,14,48,0,0,2,0,1,0,0,86,0
"9",8,1,400,7,44,1,0,3,0,1,0,0,84,1
"10",12,0,120,5,71,0,0,2,0,1,0,1,83,0
"11",10,1,430,7,44,1,0,3,1,1,0,2,80,0
"12",10,1,550,7,44,1,0,3,0,1,0,1,82,0
"13",8,1,550,7,44,1,0,3,1,0,2,1,85,0
"14",13,0,365,5,71,1,0,1,1,1,0,1,85,1
"15",14,1,385,11,29,0,0,2,1,1,0,1,85,1
"16",13,1,385,7,44,1,0,3,1,1,0,0,79,1
"17",8,1,595,13,59,1,0,2,1,1,0,1,85,0
"18",14,1,985,13,59,1,0,3,1,1,0,1,71,1
"19",12,1,380,7,44,1,0,2,1,1,0,2,80,0
"20",12,1,540,7,44,0,0,2,0,1,0,1,79,1
"21",9,0,200,7,61,1,0,3,0,1,0,1,86,0
"22",8,1,385,7,44,1,0,2,0,1,0,0,85,1
"23",16,1,540,8,50,0,1,2,1,0,0,4,85,0
"24",10,1,335,7,44,0,0,2,1,1,0,0,80,1
"25",17,1,385,8,50,0,0,3,1,1,0,1,78,1
"26",10,1,625,14,48,1,0,2,0,1,0,1,85,1
"27",15,1,805,7,44,1,0,3,0,1,0,2,86,0
"28",8,1,325,7,44,1,0,3,0,1,0,2,86,0
"29",14,1,400,8,50,0,0,3,1,1,0,0,71,0
"30",15,1,670,7,44,0,0,2,0,1,0,1,80,0
"31",10,1,540,7,44,0,0,1,1,0,0,0,79,0
"32",14,1,880,23,85,1,0,3,0,1,0,1,85,0
"33",10,1,400,7,44,1,0,3,1,1,0,0,82,1
"34",10,1,620,14,48,1,0,3,1,1,0,2,82,0
"35",14,1,460,13,59,1,0,3,0,1,0,0,86,1
"36",13,1,600,7,44,0,0,4,1,1,0,3,84,0
"37",8,1,600,7,44,1,0,4,1,1,0,2,86,1
"38",14,1,805,7,44,1,0,3,0,1,0,1,84,0
"39",13,1,400,8,50,1,0,3,0,1,0,1,81,1
"40",13,1,380,7,44,1,0,3,0,0,0,0,81,0
